F1,Date,Date Entered/Updated,Launch Time (UTC),Missile Name,Missile Type,Launch Agency/Authority,Facility Name,Facility Location,Other Name,Facility Latitude,Facility Longitude,Landing Location,Apogee,Distance Travelled,Confirmation Status,Test Outcome,Additional Information,Source(s)
1,9-Apr-84,23-Dec-16,,Scud-B,SRBM,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Unknown,Unknown,Unknown,Confirmed,Success,"First known test by North Korea of a missile with a range greater than or equal to 300 km and a payload of 500 kg or greater. The 1984 tests probably took place over the course of several months rather than on the same days as they are entered here. What we know though is that North Korea carried out at least 6 tests. We also know that the tests were caried out at Tonghae. We also know that 3 of the tests succeeded and that at least 3 failed. We do not know exactly which ones were failures and which ones were successes. We also do not know exactly when these tests took place except that it was between April and September of 1984. Readers should interpret the information about these first tests as our best estimates as to what occured in a secret program within one of the most secret regimes in the world. Information on tests after 1993 is much more complete than information on the early years of this program. For more information on the foundations of North Korea's ballistic missile program, see ""A history of Ballistic Missile Development in the DPRK"" by Joseph Bermudez.","http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; http://www.bloomberg.com/news/articles/2016-09-09/north-korea-missile-launches-nuclear-detonations-timeline; http://www.straitstimes.com/asia/east-asia/a-timeline-of-north-koreas-development-of-missiles-and-nuclear-weapons; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999 "
2,9-Apr-84,23-Dec-16,,Scud-B,SRBM,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Unknown,Unknown,Unknown,Confirmed,Success,,"http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999"
3,9-Apr-84,23-Dec-16,,Scud-B,SRBM,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Unknown,200 km,Unknown,Confirmed,Success,,"http://www.astronautix.com/g/gitdaeryung.html; http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999"
4,Sep-84,23-Dec-16,,Scud-B,SRBM,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Unknown,Unknown,Unknown,Confirmed,Failure,,"Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999"
5,Sep-84,23-Dec-16,,Scud-B,SRBM,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Unknown,200 km,Unknown,Confirmed,Failure,,"http://www.astronautix.com/g/gitdaeryung.html; http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999"
6,Sep-84,23-Dec-16,,Scud-B,SRBM,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Unknown,200 km,Unknown,Confirmed,Failure,,"http://www.astronautix.com/g/gitdaeryung.html; http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999"
7,May-86,23-Dec-16,,Unknown,Unknown,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Unknown,Unknown,Unknown,Unconfirmed,Unknown,"This entry comes from reports of the South Korea Defense Minister Lee Ki-Baek who stated that the DPRK had conducted a secret test of a ""long-range guided missile"". It is likely this would have been the Scud-B but it's also possible it was a Scud-C the North was developing or even some sort of artillery missile system. There are exceptionally limited reports about this test and it's almost as likely there never was one at all.","http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999"
8,May-90,23-Dec-16,,Nodong,MRBM,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Unknown,150 km,Unknown,Unconfirmed,Failure,"US intelligence observed this missile on the launchpad. The following day, photographs revealed large burn marks leading many to believe the missile suffered a catastrophic failure on launch. No launch was detected by others so its likely this failure occured very early into the test. This test is believed to be the earliest test of a Nodong.","http://www.astronautix.com/g/gitdaeryung.html; http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; http://www.straitstimes.com/asia/east-asia/a-timeline-of-north-koreas-development-of-missiles-and-nuclear-weapons; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999"
9,Jun-90,23-Dec-16,,Scud-C,SRBM,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Sea of Japan or East Sea,200 km,Unknown,Confirmed,Success,"This was the first known test of the Scud-C by North Korea. The Scud-C, aka Hwasong-6, is believed to be the result of reverse engineering and then improving on the design of the Soviet R-17E (aka the Scud-B). ","http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999"
10,Jul-91,23-Dec-16,,Scud-C,SRBM,,Chihari Missile Base,"Chiha-ri�, Kangwon Province, (North Korea)",Chiha-ri Taepodong Base,38.62333,126.6847,Sea of Japan or East Sea,Unknown,Unknown,Confirmed,Success,"Bermudez places this test as being launched from a DPRK produced TEL in the Kangwon-do Province. This location is a known missile base near the DMZ which could be the location. As far as sources indicate, this was the only missile flight test to occur in this location.","http://www.astronautix.com/k/koreanorth.html; Jane's Intelligence Review. ""An Analysis of North Korean Ballistic Missile Testing"". January 4, 1995; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999; "
11,Jun-92,23-Dec-16,,Nodong,MRBM,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Unknown,0 km,Unknown,Unconfirmed,Failure,Japanese military sources reported this test. There is little information on it and it is likely that the missile failed early in flight.,"http://www.astronautix.com/g/gitdaeryung.html; http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999; "
12,29-May-93,23-Dec-16,,Nodong,MRBM,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Sea of Japan or East Sea,150 km,500 km,Confirmed,Success,"A lot about the May 29-30 test is unknown. Even the type and number of missiles tested is unclear. Given that a number of Pakistania and Iranian observers are believed to have been present for the test, it appears one purpose of this test was to attract foreign buyers and interest in North Korea's missiles. It is unclear which missile among these tests was the Nodong. It may have been the first of the 4, the last, or any of the ones in the middle. The tests began late on May 29 and continued overnight and into the following day as well. Also, this appears to be the first successful flight test of the Nodong.","http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999"
13,29-May-93,23-Dec-16,,Scud-C,SRBM,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Sea of Japan or East Sea,200 km,Unknown,Confirmed,Unknown,"A lot about the May 29-30 test is unknown. Even the type and number of missiles tested is unclear. Given that a number of Pakistania and Iranian observers are believed to have been present for the test, it appears one purpose of this test was to attract foreign buyers and interest in North Korea's missiles. It is unclear which missile among these tests was the Nodong. It may have been the first of the 4, the last, or any of the ones in the middle. The tests began late on May 29 and continued overnight and into the following day as well. Also, this appears to be the first successful flight test of the Nodong.","http://www.astronautix.com/g/gitdaeryung.html; http://www.nytimes.com/1993/06/13/world/missile-is-tested-by-north-koreans.html; http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999"
14,29-May-93,23-Dec-16,,Scud-C,SRBM,,Tonghae Satellite Launching Ground,"Hwadae County, North Hamgyong Province",Musudan-ri,40.8499966,129.666664,Sea of Japan or East Sea,200 km,Unknown,Confirmed,Success,"A lot about the May 29-30 test is unknown. Even the type and number of missiles tested is unclear. Given that a number of Pakistania and Iranian observers are believed to have been present for the test, it appears one purpose of this test was to attract foreign buyers and interest in North Korea's missiles. It is unclear which missile among these tests was the Nodong. It may have been the first of the 4, the last, or any of the ones in the middle. The tests began late on May 29 and continued overnight and into the following day as well. Also, this appears to be the first successful flight test of the Nodong.","http://www.astronautix.com/g/gitdaeryung.html; http://www.nytimes.com/1993/06/13/world/missile-is-tested-by-north-koreans.html; http://www.nti.org/media/pdfs/north_korea_missile_2.pdf?_=1327534760; Joseph S. Bermudez, ""A History of Ballistic Missile Development in the DPRK"", Occasional Paper No. 2. Center for Nonproliferation Studies, November 1999"
